dtp_id,moment_date,year,month,day_of_week,hour,time_of_day,season,is_weekend,is_night,is_rush_hour,type_code,type_name_decoded,type_group,severity,dead_count,injured_count,dead_children_count,injured_children_count,vehicles_count,participant_count,area_id,district_id,source_year,place_latitude,place_longitude,road_type_code,street_name,road_name,road_loc,traffic_lane_amount,srf_code,road_sign_code
501946227,2022-01-01,2022,1,5,9,Утро (6–12),Зима,True,False,True,1,Столкновение ТС,Столкновение,Ранение,0,2,0,0,2,4,4,89,input/2022,55.807998,37.506949,,Ленинградский пр-кт,,,3.0,Асфальтобетонное,
501958627,2022-01-01,2022,1,5,7,Утро (6–12),Зима,True,False,True,4,Наезд на препятствие,Наезд на препятствие,Ранение,0,1,0,0,1,2,4,5,input/2022,55.879054,37.484343,,Зеленоградская ул,,,4.0,Асфальтобетонное,
501966227,2022-01-01,2022,1,5,13,День (12–18),Зима,True,False,False,3,Наезд на стоящее ТС,Наезд на ТС,Ранение,0,1,0,0,3,3,7,80,input/2022,55.500128,37.332423,,,Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление),36,4.0,Асфальтобетонное,
501997427,2022-01-01,2022,1,5,12,День (12–18),Зима,True,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,2,6,91,input/2022,55.846633,37.360758,,Митинская ул,,,4.0,Асфальтобетонное,
502000627,2022-01-01,2022,1,5,21,Вечер (18–22),Зима,True,False,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,3,7,70,input/2022,55.60393,37.334579,,,"""Украина"" Москва - Калуга - Брянск - граница с Украиной (основное направление)",2025-05-27 00:00:00,5.0,Асфальтобетонное,
503142027,2022-01-01,2022,1,5,21,Вечер (18–22),Зима,True,False,False,4,Наезд на препятствие,Наезд на препятствие,Ранение,0,1,0,0,1,2,1,130,input/2022,55.846831,37.795554,,,Московская кольцевая автомобильная дорога (МКАД) внешняя сторона,100,5.0,Асфальтобетонное,
514047827,2022-01-01,2022,1,5,2,Ночь (22–6),Зима,True,True,False,4,Наезд на препятствие,Наезд на препятствие,Ранение,0,2,0,0,1,3,9,111,input/2022,55.579812,37.698147,,,Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона,27,6.0,Асфальтобетонное,
501935027,2022-01-01,2022,1,5,2,Ночь (22–6),Зима,True,True,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,3,2,85,input/2022,55.719708,37.421622,,Можайское ш,,,3.0,"Асфальтобетонное, с поверхностной обработкой",
501971827,2022-01-01,2022,1,5,14,День (12–18),Зима,True,False,False,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,0,1,2,4,53,input/2022,55.882316,37.487079,,,,,1.0,Асфальтобетонное,
501933427,2022-01-01,2022,1,5,0,Ночь (22–6),Зима,True,True,False,1,Столкновение ТС,Столкновение,Ранение,0,4,0,1,2,5,4,139,input/2022,55.829565,37.530681,,Большая Академическая ул,,,7.0,Асфальтобетонное,
503065627,2022-01-01,2022,1,5,2,Ночь (22–6),Зима,True,True,False,4,Наезд на препятствие,Наезд на препятствие,Ранение,0,2,0,2,1,3,8,134,input/2022,55.7695,37.540798,,Брянский Пост ул,Третье транспортное кольцо - внешняя сторона,15,3.0,Асфальтобетонное,
501986027,2022-01-02,2022,1,6,0,Ночь (22–6),Зима,True,True,False,4,Наезд на препятствие,Наезд на препятствие,Ранение,0,2,0,0,1,3,1,74,input/2022,55.778492,37.819169,,Большой Купавенский проезд,,,4.0,Асфальтобетонное,
501991227,2022-01-02,2022,1,6,2,Ночь (22–6),Зима,True,True,False,1,Столкновение ТС,Столкновение,Ранение,0,2,0,0,2,3,10,136,input/2022,55.749156,37.705325,,Энтузиастов ш,,,5.0,Асфальтобетонное,
501996227,2022-01-02,2022,1,6,4,Ночь (22–6),Зима,True,True,False,1,Столкновение ТС,Столкновение,Гибель,1,1,0,0,3,4,2,83,input/2022,55.657519,37.437866,,,Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона,47,5.0,"Асфальтобетонное, с поверхностной обработкой",
502048427,2022-01-02,2022,1,6,17,День (12–18),Зима,True,False,True,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,2,2,127,input/2022,55.726252,37.511058,,МЖД Киевское 5-й км,,,6.0,Асфальтобетонное,
502049227,2022-01-02,2022,1,6,16,День (12–18),Зима,True,False,False,3,Наезд на стоящее ТС,Наезд на ТС,Ранение,0,2,0,0,2,3,1,22,input/2022,55.752803,37.808987,,Зелёный пр-кт,,,4.0,Асфальтобетонное,
502056627,2022-01-02,2022,1,6,21,Вечер (18–22),Зима,True,False,False,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,0,1,2,2,113,input/2022,55.727618,37.473507,,Славянский б-р,,,2.0,Асфальтобетонное,
502058027,2022-01-02,2022,1,6,22,Ночь (22–6),Зима,True,True,False,4,Наезд на препятствие,Наезд на препятствие,Ранение,0,2,0,0,1,2,9,3,input/2022,55.637916,37.599785,,Северное Чертаново мкр,,,2.0,"Асфальтобетонное, с поверхностной обработкой",
503102027,2022-01-02,2022,1,6,23,Ночь (22–6),Зима,True,True,False,5,Наезд на пешехода,Пешеходный конфликт,Ранение,0,1,0,0,1,2,2,85,input/2022,55.726319,37.429605,,Красных Зорь ул,,,4.0,Асфальтобетонное,
501995227,2022-01-02,2022,1,6,0,Ночь (22–6),Зима,True,True,False,1,Столкновение ТС,Столкновение,Ранение,0,1,0,0,2,2,2,33,input/2022,55.670651,37.495179,,Вернадского пр-кт,,,8.0,Асфальтобетонное,
501990427,2022-01-02,2022,1,6,1,Ночь (22–6),Зима,True,True,False,4,Наезд на препятствие,Наезд на препятствие,Ранение,0,2,0,0,1,2,9,111,input/2022,55.57194,37.671733,,,Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона,29,5.0,Асфальтобетонное,
