dtp_id,year,type_group,severity,has_speed_violation,has_priority_violation,has_pedestrian_conflict,has_bad_road_condition,has_young_driver,has_novice_driver,has_truck,has_bus,has_taxi,has_motorcycle,is_night,is_weekend,is_rush_hour,time_of_day,season,dead_count,injured_count,participant_count
501946227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Нет,Да,Да,Утро (6–12),Зима,0,2,4
501958627,2022,Наезд на препятствие,Ранение,Да,Нет,Нет,Нет,Да,Нет,False,False,True,False,Нет,Да,Да,Утро (6–12),Зима,0,1,2
501966227,2022,Наезд на ТС,Ранение,Да,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Да,Нет,День (12–18),Зима,0,1,3
501997427,2022,Столкновение,Ранение,Нет,Да,Нет,Нет,Нет,Нет,False,True,False,False,Нет,Да,Нет,День (12–18),Зима,0,1,2
502000627,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Нет,Да,Нет,Вечер (18–22),Зима,0,1,3
503142027,2022,Наезд на препятствие,Ранение,Да,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Нет,Да,Нет,Вечер (18–22),Зима,0,1,2
514047827,2022,Наезд на препятствие,Ранение,Да,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Да,Да,Нет,Ночь (22–6),Зима,0,2,3
501935027,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Да,Да,Нет,Ночь (22–6),Зима,0,1,3
501971827,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Да,Нет,День (12–18),Зима,0,1,2
501933427,2022,Столкновение,Ранение,Нет,Да,Нет,Нет,Да,Да,False,True,False,False,Да,Да,Нет,Ночь (22–6),Зима,0,4,5
503065627,2022,Наезд на препятствие,Ранение,Да,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Да,Да,Нет,Ночь (22–6),Зима,0,2,3
501986027,2022,Наезд на препятствие,Ранение,Да,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Да,Да,Нет,Ночь (22–6),Зима,0,2,3
501991227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Да,Да,Нет,Ночь (22–6),Зима,0,2,3
501996227,2022,Столкновение,Гибель,Нет,Нет,Нет,Нет,Нет,Нет,True,False,False,False,Да,Да,Нет,Ночь (22–6),Зима,1,1,4
502048427,2022,Столкновение,Ранение,Нет,Нет,Нет,Да,Нет,Нет,False,False,False,False,Нет,Да,Да,День (12–18),Зима,0,1,2
502049227,2022,Наезд на ТС,Ранение,Да,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Нет,Да,Нет,День (12–18),Зима,0,2,3
502056627,2022,Пешеходный конфликт,Ранение,Нет,Да,Да,Нет,Нет,Нет,False,False,False,False,Нет,Да,Нет,Вечер (18–22),Зима,0,1,2
502058027,2022,Наезд на препятствие,Ранение,Да,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Да,Да,Нет,Ночь (22–6),Зима,0,2,2
503102027,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Да,Да,Нет,Ночь (22–6),Зима,0,1,2
501995227,2022,Столкновение,Ранение,Нет,Да,Нет,Нет,Нет,Нет,False,False,False,False,Да,Да,Нет,Ночь (22–6),Зима,0,1,2
501990427,2022,Наезд на препятствие,Ранение,Да,Нет,Нет,Нет,Да,Да,False,False,False,False,Да,Да,Нет,Ночь (22–6),Зима,0,2,2
502116427,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Да,Нет,False,False,True,False,Нет,Да,Да,Утро (6–12),Зима,0,1,2
502107427,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,Утро (6–12),Зима,0,1,3
502135627,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Да,Нет,Нет,False,False,False,False,Нет,Нет,Да,День (12–18),Зима,0,2,3
502157627,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,True,False,Нет,Нет,Нет,Вечер (18–22),Зима,0,1,2
502159027,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Да,Нет,False,False,False,False,Да,Нет,Нет,Ночь (22–6),Зима,0,1,2
502659027,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Да,Да,False,False,False,False,Нет,Нет,Нет,Вечер (18–22),Зима,0,1,2
502828227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,True,False,False,Нет,Нет,Да,День (12–18),Зима,0,1,3
502137827,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Да,День (12–18),Зима,0,1,2
502659627,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,True,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
502153227,2022,Прочее,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,True,False,False,Нет,Нет,Нет,Вечер (18–22),Зима,0,1,2
502178827,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Да,Да,True,False,False,False,Да,Нет,Нет,Ночь (22–6),Зима,0,1,3
502157227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Да,False,False,False,False,Нет,Нет,Да,День (12–18),Зима,0,1,3
502204427,2022,Велосипедный / СИМ конфликт,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
502177627,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Нет,Нет,Нет,Утро (6–12),Зима,0,1,3
502225627,2022,Наезд на ТС,Ранение,Да,Нет,Да,Нет,Да,Да,True,False,False,False,Нет,Нет,Да,День (12–18),Зима,0,3,4
502301427,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Да,Вечер (18–22),Зима,0,1,3
502224227,2022,Пешеходный конфликт,Ранение,Нет,Да,Да,Нет,Да,Нет,False,False,True,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
502232627,2022,Наезд на препятствие,Ранение,Да,Нет,Нет,Нет,Нет,Нет,True,False,False,False,Нет,Нет,Нет,Вечер (18–22),Зима,0,1,1
502258427,2022,Наезд на препятствие,Ранение,Да,Нет,Нет,Нет,Нет,Нет,True,False,False,False,Нет,Нет,Да,Утро (6–12),Зима,0,1,1
502288227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
502293427,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,3
502307027,2022,Наезд на ТС,Ранение,Да,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,2,2
502321427,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,3
502336227,2022,Прочее,Ранение,Нет,Нет,Нет,Нет,Да,Нет,False,False,False,False,Нет,Нет,Да,Вечер (18–22),Зима,0,1,2
502339227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Да,День (12–18),Зима,0,1,4
502361827,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Да,Нет,Нет,Ночь (22–6),Зима,0,2,3
502461627,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,True,False,False,Нет,Нет,Да,Вечер (18–22),Зима,0,1,3
502498227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Нет,Нет,Нет,День (12–18),Зима,0,1,4
502833627,2022,Прочее,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Да,Нет,Нет,Ночь (22–6),Зима,0,1,2
502250227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Да,Нет,Нет,Ночь (22–6),Зима,0,1,2
502277627,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,True,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
502351427,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,True,False,Нет,Нет,Да,Вечер (18–22),Зима,0,1,2
502791227,2022,Наезд на ТС,Ранение,Нет,Нет,Нет,Нет,Да,Нет,False,False,True,False,Да,Нет,Нет,Ночь (22–6),Зима,0,2,4
502400027,2022,Наезд на препятствие,Ранение,Да,Нет,Да,Нет,Да,Нет,False,False,True,False,Нет,Нет,Нет,Утро (6–12),Зима,0,2,4
502401227,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
502450627,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,True,False,True,False,Нет,Нет,Да,День (12–18),Зима,0,1,3
502456227,2022,Наезд на препятствие,Ранение,Нет,Нет,Да,Нет,Да,Нет,False,False,False,False,Нет,Нет,Да,Вечер (18–22),Зима,0,1,2
502603627,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,3
502787027,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Да,Вечер (18–22),Зима,0,1,2
502375027,2022,Столкновение,Гибель,Нет,Нет,Нет,Нет,Нет,Нет,True,False,False,False,Нет,Нет,Да,Утро (6–12),Зима,2,0,3
502460427,2022,Столкновение,Ранение,Нет,Да,Нет,Нет,Нет,Нет,False,False,True,False,Нет,Нет,Нет,День (12–18),Зима,0,2,2
502464027,2022,Столкновение,Гибель,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Да,Нет,Нет,Ночь (22–6),Зима,1,5,8
502448027,2022,Столкновение,Ранение,Нет,Да,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Да,День (12–18),Зима,0,2,4
502778427,2022,Столкновение,Ранение,Нет,Да,Нет,Нет,Да,Да,False,False,False,False,Нет,Нет,Нет,Вечер (18–22),Зима,0,1,2
502485627,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,True,False,False,False,Нет,Нет,Да,Утро (6–12),Зима,0,1,2
502495627,2022,Наезд на препятствие,Ранение,Да,Нет,Нет,Нет,Нет,Нет,True,False,False,False,Нет,Нет,Нет,Утро (6–12),Зима,0,1,2
502514627,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Да,Да,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,2,4
502538227,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
502569227,2022,Столкновение,Гибель,Нет,Да,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Да,День (12–18),Зима,1,2,3
502573627,2022,Наезд на ТС,Ранение,Да,Нет,Да,Нет,Нет,Нет,False,False,True,False,Да,Нет,Нет,Ночь (22–6),Зима,0,2,3
502622027,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,True,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
502571027,2022,Пешеходный конфликт,Гибель,Нет,Нет,Да,Нет,Нет,Нет,True,False,False,False,Нет,Нет,Нет,День (12–18),Зима,1,0,2
502606627,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Да,Нет,Нет,False,False,False,False,Нет,Нет,Да,День (12–18),Зима,0,1,2
502477027,2022,Наезд на ТС,Ранение,Да,Нет,Да,Нет,Да,Нет,True,False,False,False,Да,Нет,Нет,Ночь (22–6),Зима,0,2,2
502614227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Нет,Нет,Да,День (12–18),Зима,0,1,3
502584027,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Да,Нет,False,False,True,False,Нет,Нет,Да,Вечер (18–22),Зима,0,1,2
502547227,2022,Столкновение,Ранение,Нет,Да,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,3,4
502515027,2022,Пешеходный конфликт,Ранение,Нет,Да,Да,Да,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
502802227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Да,Да,True,False,False,False,Нет,Нет,Да,Вечер (18–22),Зима,0,1,3
502578827,2022,Наезд на препятствие,Ранение,Да,Нет,Нет,Нет,Да,Нет,False,False,True,False,Да,Да,Нет,Ночь (22–6),Зима,0,1,2
502596827,2022,Наезд на препятствие,Ранение,Да,Нет,Нет,Нет,Да,Нет,False,False,False,False,Да,Да,Нет,Ночь (22–6),Зима,0,1,1
502642427,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Да,Нет,False,False,False,False,Нет,Да,Да,Вечер (18–22),Зима,0,1,2
502654227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Да,Нет,Утро (6–12),Зима,0,1,3
502685027,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Да,Да,Нет,Ночь (22–6),Зима,0,2,4
502611227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Да,Нет,День (12–18),Зима,0,1,3
502600027,2022,Столкновение,Ранение,Нет,Нет,Нет,Да,Нет,Нет,False,False,True,False,Нет,Да,Нет,Утро (6–12),Зима,0,2,4
502610427,2022,Прочее,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Да,Нет,День (12–18),Зима,0,1,2
502788627,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Да,Нет,False,False,False,False,Да,Да,Нет,Ночь (22–6),Зима,0,1,3
502848627,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Да,Нет,Вечер (18–22),Зима,0,1,2
502658427,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Да,Да,Нет,Ночь (22–6),Зима,0,1,2
502670227,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Да,Да,False,False,False,False,Нет,Да,Да,Утро (6–12),Зима,0,1,3
502694027,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Да,Да,Нет,Ночь (22–6),Зима,0,1,3
502710427,2022,Столкновение,Ранение,Нет,Нет,Нет,Да,Да,Нет,False,True,True,False,Нет,Да,Нет,День (12–18),Зима,0,1,4
502739027,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Да,Да,День (12–18),Зима,0,1,2
502745027,2022,Пешеходный конфликт,Ранение,Нет,Да,Да,Нет,Нет,Нет,False,False,False,False,Нет,Да,Нет,Вечер (18–22),Зима,0,1,2
502750827,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Да,Нет,Вечер (18–22),Зима,0,1,2
502752827,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Да,Нет,Утро (6–12),Зима,0,1,3
502761027,2022,Наезд на препятствие,Ранение,Да,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Да,Да,Нет,Ночь (22–6),Зима,0,2,3
502762427,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Да,Нет,Вечер (18–22),Зима,0,1,2
503064827,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Да,Да,Нет,Ночь (22–6),Зима,0,1,3
502743827,2022,Наезд на препятствие,Ранение,Да,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Да,Нет,Вечер (18–22),Зима,0,3,3
502679827,2022,Наезд на ТС,Ранение,Да,Нет,Нет,Нет,Нет,Нет,True,False,False,False,Нет,Да,Нет,Утро (6–12),Зима,0,1,3
502681827,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,True,False,Да,Да,Нет,Ночь (22–6),Зима,0,2,4
502712427,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Да,Нет,День (12–18),Зима,0,1,2
502864627,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,True,False,Нет,Нет,Да,Вечер (18–22),Зима,0,1,2
503050027,2022,Столкновение,Ранение,Да,Нет,Нет,Нет,Да,Нет,False,False,True,False,Да,Нет,Нет,Ночь (22–6),Зима,0,1,3
502777027,2022,Наезд на препятствие,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Да,Утро (6–12),Зима,0,1,1
502826427,2022,Прочее,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,True,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
502837427,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,День (12–18),Зима,0,1,2
502860027,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Да,Вечер (18–22),Зима,0,1,2
502860627,2022,Пешеходный конфликт,Ранение,Нет,Нет,Да,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Да,Вечер (18–22),Зима,0,1,2
502868027,2022,Столкновение,Ранение,Нет,Нет,Нет,Нет,Нет,Нет,False,True,False,False,Нет,Нет,Да,Вечер (18–22),Зима,0,5,7
502882827,2022,Пешеходный конфликт,Ранение,Нет,Да,Да,Нет,Нет,Нет,False,False,False,False,Нет,Нет,Нет,Вечер (18–22),Зима,0,1,2
