cell_id,time_bucket,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m
55.23_37.02,2022-12-16 07:00:00,-2.0,-7.365531,none,0.0,28.0,19.161337,35.64,91.49229,989.7849,
55.25_37.18,2022-08-15 13:00:00,25.85,26.190205,none,0.0,0.0,13.039754,29.16,49.87656,998.0146,
55.27_37.11,2022-11-13 14:00:00,7.0,1.0659828,none,0.0,0.0,26.66188,59.399998,63.303093,985.4387,
55.27_37.14,2022-11-11 08:00:00,6.3,3.2387514,none,0.0,0.0,13.830749,27.72,96.60694,991.7744,
55.29_37.23,2023-01-02 13:00:00,-1.05,-6.9882646,none,0.0,34.0,20.724247,41.760002,67.79164,990.691,
55.29_37.3,2022-09-04 16:00:00,13.15,9.159718,none,0.0,0.0,14.05845,32.399998,43.969624,998.85236,
55.31_37.15,2022-09-03 11:00:00,13.65,10.130117,none,0.0,0.0,15.03835,35.28,50.129738,997.2658,
55.31_37.18,2022-09-27 12:00:00,11.65,9.059124,none,0.0,0.0,8.707238,21.599998,61.52061,987.1047,
55.31_37.18,2022-11-21 09:00:00,-5.05,-9.519726,none,0.0,8.0,10.966713,21.599998,94.46874,994.3781,
55.32_37.26,2023-03-05 17:00:00,-1.2,-5.704543,none,0.0,49.0,11.212135,30.239998,70.932724,971.75433,
55.33_37.07,2023-02-02 19:00:00,-2.0,-6.97406,snow,0.1,30.000002,16.055353,30.960001,88.14149,983.02277,
55.33_37.16,2022-10-31 14:00:00,3.75,-2.8847442,none,0.0,1.0,28.220417,54.719997,62.29847,983.04706,
55.33_37.34,2023-02-10 10:00:00,-4.55,-11.003675,none,0.0,34.0,24.079666,45.36,86.23708,999.23364,
55.35_37.18,2022-10-08 19:00:00,10.7,7.2085295,none,0.0,0.0,17.555307,32.760002,74.23715,998.6743,
55.35_37.34,2022-10-30 16:00:00,5.95,-0.41079235,rain,0.1,0.0,26.299719,57.96,53.242786,976.7989,
55.38_37.21,2022-12-14 11:00:00,-4.65,-10.2252245,snow,0.4,25.0,18.228943,33.48,88.56655,980.6596,
55.38_37.38,2022-10-16 19:00:00,7.05,2.9769468,none,0.0,0.0,14.512064,26.28,65.637115,1005.9768,
55.38_37.39,2022-09-14 19:00:00,11.35,10.855703,rain,0.1,0.0,4.39436,9.0,94.19675,980.561,
55.38_37.39,2023-01-25 03:00:00,-2.2,-6.2941723,none,0.0,27.000002,10.315115,19.44,91.82049,1009.9379,
55.38_37.4,2022-11-14 13:00:00,0.65,-4.6392136,none,0.0,0.0,16.595179,39.239998,62.008152,1004.08124,
55.38_37.4,2022-11-26 12:00:00,-4.4,-9.41788,none,0.0,12.0,13.797913,27.359999,81.11841,1009.6371,
55.38_37.4,2022-12-05 07:00:00,-14.2,-19.408733,none,0.0,12.0,10.495713,20.16,80.644554,1022.7528,
55.39_37.23,2022-08-22 14:00:00,28.3,27.01365,none,0.0,0.0,14.48972,28.08,38.05038,1000.1527,
55.39_37.29,2022-08-13 11:00:00,23.25,24.375816,none,0.0,0.0,3.7585104,13.32,58.082645,999.165,
55.39_37.36,2022-08-17 14:00:00,26.95,26.33265,none,0.0,0.0,14.404499,30.599998,44.962833,994.6826,
55.39_37.38,2022-10-18 11:00:00,7.25,3.7427855,rain,3.0,0.0,17.81909,32.399998,94.334816,990.0143,
55.39_37.41,2022-08-29 12:00:00,24.85,23.61122,none,0.0,0.0,15.042659,31.319998,47.24342,991.81836,
55.39_37.41,2022-11-03 15:00:00,-0.3,-4.0720425,none,0.0,1.0,7.0911775,15.84,72.74281,997.9267,
55.39_37.42,2022-11-18 21:00:00,-6.45,-10.719599,none,0.0,6.0,8.089993,15.4800005,88.4019,992.70197,
55.39_37.42,2022-12-19 15:00:00,-4.3,-9.818032,none,0.0,45.0,17.698677,35.28,84.95478,1007.43866,
55.3_37.19,2022-09-16 13:00:00,13.8,11.617887,rain,0.8,0.0,16.676977,41.039997,82.11016,973.6806,
55.3_37.19,2022-12-20 18:00:00,-8.65,-13.800949,none,0.0,45.0,12.43434,31.68,82.44448,991.9432,
55.3_37.21,2023-02-25 13:00:00,1.3,-3.0010505,rain,0.1,48.0,14.658676,29.88,89.411446,972.4512,
55.41_37.21,2022-12-13 07:00:00,0.6,-2.8446288,snow,0.4,15.000001,9.3669195,22.319998,97.8558,981.3821,
55.41_37.25,2022-09-18 15:00:00,12.45,10.24944,rain,0.1,0.0,14.33234,28.8,82.49001,978.3027,
55.41_37.26,2022-09-10 19:00:00,9.4,6.8458767,none,0.0,0.0,7.628263,10.440001,68.52734,1001.622,
55.42_37.19,2022-09-24 07:00:00,8.6,5.9992285,rain,1.0,0.0,14.081478,29.16,95.36249,983.25305,
55.42_37.19,2022-11-08 17:00:00,4.2,0.39742613,rain,0.3,1.0,15.782622,29.88,95.872795,995.4009,
55.42_37.26,2022-08-26 16:00:00,29.65,28.808937,none,0.0,0.0,6.6185193,25.199999,30.326603,999.1078,
55.42_37.29,2022-11-20 15:00:00,-3.05,-6.8461885,none,0.0,9.0,6.830519,19.44,85.42222,1000.4845,
55.43_36.86,2022-09-14 09:00:00,10.95,8.851932,none,0.0,0.0,12.783802,29.88,88.3607,980.5469,
55.43_36.86,2022-10-28 20:00:00,7.95,5.101837,rain,0.2,0.0,14.264361,27.0,93.721436,994.9602,
55.43_37.27,2022-09-01 13:00:00,13.45,9.176167,rain,0.1,0.0,19.829433,41.039997,53.535435,987.19635,
55.43_37.28,2023-03-05 23:00:00,-4.2,-8.424383,snow,0.1,47.0,9.504273,17.64,90.650955,974.74927,
55.43_37.32,2023-01-23 15:00:00,-3.75,-7.3925977,none,0.0,29.0,5.1544156,14.04,84.373276,1021.0491,
55.43_37.37,2023-03-11 11:00:00,-5.4,-11.04914,snow,0.1,51.0,17.551615,33.48,81.605385,989.2929,
55.44_37.33,2023-08-31 19:00:00,21.25,21.072552,none,0.0,0.0,10.495713,19.08,63.92654,993.83405,
55.44_37.34,2022-08-20 16:00:00,18.45,15.819113,none,0.0,0.0,15.876775,33.839996,53.381634,1006.3321,
55.45_36.9,2022-09-18 01:00:00,9.2,6.5780144,none,0.0,0.0,11.592895,24.48,82.07683,978.1957,
55.45_37.25,2022-11-29 08:00:00,-6.45,-11.174626,none,0.0,13.0,10.966713,22.319998,85.696465,1020.1854,
55.45_37.51,2022-08-21 14:00:00,20.7,18.789398,rain,0.4,0.0,14.494192,33.839996,52.549286,1002.3203,
55.45_37.52,2023-02-04 09:00:00,-2.95,-6.2710056,none,0.0,27.000002,4.8433046,8.64,95.62855,993.46014,
55.46_36.94,2022-09-14 19:00:00,9.95,8.909706,rain,0.1,0.0,5.6233797,7.2,94.77057,981.37164,
