cell_id,time_bucket,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m
55.27_37.14,2024-10-23 13:00:00,10.1,6.900235,rain,0.1,0.0,19.424158,37.44,90.405136,987.6327,
55.41_36.92,2024-10-14 16:00:00,0.45,-4.3885546,snow,0.8,6.0,17.932373,41.760002,92.32669,986.9593,
55.46_37.29,2024-07-25 02:00:00,16.75,16.29224,none,0.0,0.0,8.854829,15.84,76.76695,988.0936,
55.47_36.9,2024-10-26 21:00:00,4.8,1.8884068,none,0.0,0.0,10.3480425,19.44,95.22246,1001.1725,
55.52_37.36,2024-10-27 13:00:00,8.1,6.7298927,none,0.0,0.0,2.16,9.0,85.119736,1003.62146,
55.53_37.51,2024-10-18 12:00:00,6.0,3.1458392,none,0.0,1.0,7.5019197,18.72,76.60406,1013.4373,
55.54_37.36,2024-10-14 20:00:00,0.8,-3.4342556,snow,0.3,7.0,14.251863,30.960001,93.02141,994.42365,
55.54_37.54,2024-10-24 17:00:00,7.85,3.6158876,none,0.0,0.0,21.34803,38.519997,84.79768,995.95044,
55.54_37.55,2024-10-22 20:00:00,6.4,3.3492632,none,0.0,0.0,11.928989,23.039999,87.95758,998.4408,
55.54_37.56,2024-10-21 17:00:00,9.05,6.473839,none,0.0,0.0,7.24486,11.5199995,68.21386,1006.0123,
55.54_37.58,2024-10-12 09:00:00,9.7,5.9919252,none,0.0,0.0,19.119015,38.519997,79.63899,994.053,
55.55_37.43,2024-10-15 21:00:00,5.8,3.3463545,none,0.0,3.0,8.404285,14.759999,94.27042,996.5723,
55.55_37.51,2024-10-19 00:00:00,-1.05,-4.4260387,none,0.0,1.0,6.361415,9.72,91.55622,1009.2046,
55.55_37.52,2024-10-18 16:00:00,6.3,2.9852257,none,0.0,1.0,8.163749,18.72,64.06156,1011.21967,
55.55_37.53,2024-10-22 16:00:00,10.3,6.8728867,none,0.0,0.0,14.4415655,30.599998,67.28897,999.30695,
55.55_37.56,2024-10-21 00:00:00,6.4,2.7911663,none,0.0,0.0,11.844492,22.68,70.88567,1005.3358,
55.55_37.59,2024-10-13 19:00:00,5.65,0.05806446,none,0.0,0.0,23.00411,41.399998,63.44601,999.0186,
55.56_37.15,2024-04-08 10:00:00,13.8,11.067129,none,0.0,0.0,16.58346,34.92,71.811676,993.79016,
55.56_37.57,2024-10-17 10:00:00,3.55,0.6044731,none,0.0,1.0,6.7205353,16.919998,83.40064,1008.1132,
55.56_37.58,2024-10-19 13:00:00,6.65,3.374977,none,0.0,1.0,8.759178,20.519999,66.26009,1009.2677,
55.56_37.59,2024-10-15 10:00:00,5.9,2.4439754,none,0.0,5.0,14.082628,28.08,88.2209,991.5482,
55.57_37.49,2024-10-23 08:00:00,8.45,5.3395414,rain,0.1,0.0,16.641972,28.8,92.790344,989.7266,
55.57_37.57,2024-10-25 14:00:00,6.6,2.153184,none,0.0,0.0,17.47484,35.28,69.41786,1000.0665,
55.57_37.62,2024-10-16 06:00:00,5.4,2.7639723,none,0.0,3.0,9.582358,15.4800005,96.58272,998.5274,
55.57_37.65,2024-10-12 10:00:00,11.6,7.4854755,none,0.0,0.0,22.222528,39.96,71.15108,995.6239,
55.57_37.66,2024-10-21 20:00:00,6.0,2.6689758,none,0.0,0.0,10.711135,16.919998,76.33169,1006.3853,
55.58_37.12,2024-10-25 09:00:00,5.8,1.6686707,none,0.0,0.0,17.709658,36.0,84.26776,996.567,
55.58_37.24,2024-10-25 03:00:00,6.3,2.9918413,none,0.0,0.0,14.264361,28.44,91.07177,996.52716,
55.58_37.64,2024-10-21 13:00:00,10.4,8.446573,none,0.0,0.0,3.1072817,13.32,62.751316,1006.29675,
55.58_37.65,2024-10-27 16:00:00,5.6,2.9978452,none,0.0,0.0,8.641874,10.440001,91.984505,1000.7008,
55.58_37.69,2024-10-25 21:00:00,1.4,-1.7491832,none,0.0,0.0,6.502461,10.440001,87.17268,1003.8449,
55.59_37.21,2024-10-19 14:00:00,7.35,4.1301556,none,0.0,1.0,8.43699,19.8,63.385086,1009.64343,
55.59_37.6,2024-10-24 14:00:00,8.45,3.9220304,none,0.0,0.0,20.562586,41.760002,70.78614,994.41766,
55.59_37.66,2024-10-12 20:00:00,8.6,4.2805786,none,0.0,0.0,20.00512,36.0,73.34809,1000.1313,
55.59_37.67,2024-10-16 21:00:00,5.5,0.8280659,none,0.0,1.0,20.334425,34.92,81.01172,1004.9738,
55.59_37.67,2024-10-19 16:00:00,6.85,3.9161167,none,0.0,0.0,6.8138976,14.759999,67.023056,1009.63025,
55.59_37.67,2024-10-21 16:00:00,11.6,9.8580065,none,0.0,0.0,3.9640884,12.959999,65.03632,1008.1367,
55.61_37.49,2024-10-15 03:00:00,1.0,-2.7658825,snow,0.3,6.0,12.229406,21.24,99.28303,982.2669,
55.61_37.6,2024-10-19 21:00:00,5.7,2.5286717,none,0.0,0.0,9.555271,15.4800005,77.65452,1007.89417,
55.61_37.6,2024-10-26 17:00:00,5.15,2.02604,none,0.0,0.0,11.465024,18.359999,91.312836,1001.9857,
55.61_37.63,2024-10-26 16:00:00,5.7,2.856676,none,0.0,0.0,9.676569,19.44,88.51334,1005.018,
55.61_37.66,2024-10-14 19:00:00,1.15,-3.7460985,snow,0.1,6.0,18.532135,35.28,89.07441,994.3221,
55.61_37.66,2024-10-21 20:00:00,6.6,2.9829726,none,0.0,0.0,12.134992,19.44,70.92514,1007.0668,
55.61_37.7,2024-10-15 20:00:00,6.45,3.584591,none,0.0,3.0,10.587917,17.28,87.349594,994.5546,
55.61_37.7,2024-10-25 23:00:00,-0.45,-3.8990521,none,0.0,0.0,7.327127,10.440001,90.92506,1001.971,
55.61_37.74,2024-10-21 14:00:00,11.55,8.940553,none,0.0,0.0,7.8728137,15.84,58.96272,1008.9399,
55.61_37.75,2024-10-22 11:00:00,9.85,5.789199,none,0.0,0.0,16.395817,30.239998,61.088936,1001.9583,
55.62_37.38,2024-10-11 18:00:00,11.2,7.8934,none,0.0,0.0,17.82091,32.399998,76.651665,993.2877,
55.62_37.61,2024-10-22 19:00:00,7.0,3.6719608,none,0.0,0.0,13.690654,24.84,83.81867,998.46423,
55.62_37.65,2024-10-26 18:00:00,5.15,2.02604,none,0.0,0.0,11.465024,18.359999,91.312836,1003.9473,
55.62_37.67,2024-10-22 15:00:00,10.65,6.6606464,none,0.0,0.0,18.508516,32.760002,66.429985,1001.9953,
55.62_37.71,2024-10-26 23:00:00,6.15,3.2192078,none,0.0,0.0,11.53265,19.8,91.3795,1002.45636,
55.62_37.73,2024-10-15 06:00:00,2.9,-0.002682209,none,0.0,5.0,7.9526596,14.04,95.82991,992.1955,
55.62_37.74,2024-10-25 16:00:00,4.8,0.78479815,none,0.0,0.0,11.892265,25.199999,65.84778,1001.5449,
55.63_37.33,2024-10-17 11:00:00,5.45,2.5943618,none,0.0,1.0,6.8541956,18.0,76.51293,1008.3406,
